Year,Direction of flight,Overseas port,Value,Value Unit,Value Label,Null Reason
1998,Arrivals,Adelaide,1,number,Number of flights,
1998,Arrivals,Apia,452,number,Number of flights,
1998,Arrivals,Beijing,0,number,Number of flights,
1998,Arrivals,Bangkok,162,number,Number of flights,
1998,Arrivals,Brisbane,2496,number,Number of flights,
1998,Arrivals,Bandar Seri Begawan,0,number,Number of flights,
1998,Arrivals,Guangzhou,0,number,Number of flights,
1998,Arrivals,Cairns,181,number,Number of flights,
1998,Arrivals,Denpasar,155,number,Number of flights,
1998,Arrivals,Dubai,0,number,Number of flights,
1998,Arrivals,Buenos Aires,138,number,Number of flights,
1998,Arrivals,Hong Kong,506,number,Number of flights,
1998,Arrivals,Honolulu,474,number,Number of flights,
1998,Arrivals,Osaka,369,number,Number of flights,
1998,Arrivals,Kuala Lumpur,190,number,Number of flights,
1998,Arrivals,Los Angeles,1665,number,Number of flights,
1998,Arrivals,London,316,number,Number of flights,
1998,Arrivals,Melbourne,2210,number,Number of flights,
1998,Arrivals,Nadi,1083,number,Number of flights,
1998,Arrivals,Nagoya,147,number,Number of flights,
1998,Arrivals,Noumea,170,number,Number of flights,
1998,Arrivals,Tokyo,349,number,Number of flights,
1998,Arrivals,Coolangatta,80,number,Number of flights,
1998,Arrivals,Perth,116,number,Number of flights,
1998,Arrivals,Papeete,235,number,Number of flights,
1998,Arrivals,Rarotonga,175,number,Number of flights,
1998,Arrivals,Santiago,15,number,Number of flights,
1998,Arrivals,Seoul,355,number,Number of flights,
1998,Arrivals,San Francisco,98,number,Number of flights,
1998,Arrivals,Shanghai,0,number,Number of flights,
1998,Arrivals,Singapore,810,number,Number of flights,
1998,Arrivals,Sydney,5361,number,Number of flights,
1998,Arrivals,Tonga,308,number,Number of flights,
1998,Arrivals,Taipei,335,number,Number of flights,
1998,Arrivals,Port Vila,93,number,Number of flights,
1998,Arrivals,Vancouver,122,number,Number of flights,
1998,Arrivals,Total all overseas ports,17672,number,Number of flights,
1998,Departures,Adelaide,1,number,Number of flights,
1998,Departures,Apia,455,number,Number of flights,
1998,Departures,Beijing,0,number,Number of flights,
1998,Departures,Bangkok,180,number,Number of flights,
1998,Departures,Brisbane,2649,number,Number of flights,
1998,Departures,Bandar Seri Begawan,0,number,Number of flights,
1998,Departures,Guangzhou,0,number,Number of flights,
1998,Departures,Cairns,196,number,Number of flights,
1998,Departures,Denpasar,161,number,Number of flights,
1998,Departures,Dubai,0,number,Number of flights,
1998,Departures,Buenos Aires,138,number,Number of flights,
1998,Departures,Hong Kong,538,number,Number of flights,
1998,Departures,Honolulu,498,number,Number of flights,
1998,Departures,Osaka,359,number,Number of flights,
1998,Departures,Kuala Lumpur,191,number,Number of flights,
1998,Departures,Los Angeles,1754,number,Number of flights,
1998,Departures,London,334,number,Number of flights,
1998,Departures,Melbourne,2134,number,Number of flights,
1998,Departures,Nadi,1177,number,Number of flights,
1998,Departures,Nagoya,239,number,Number of flights,
1998,Departures,Noumea,195,number,Number of flights,
1998,Departures,Tokyo,311,number,Number of flights,
1998,Departures,Coolangatta,81,number,Number of flights,
1998,Departures,Perth,130,number,Number of flights,
1998,Departures,Papeete,241,number,Number of flights,
1998,Departures,Rarotonga,195,number,Number of flights,
1998,Departures,Santiago,28,number,Number of flights,
1998,Departures,Seoul,375,number,Number of flights,
1998,Departures,San Francisco,101,number,Number of flights,
1998,Departures,Shanghai,0,number,Number of flights,
1998,Departures,Singapore,843,number,Number of flights,
1998,Departures,Sydney,5444,number,Number of flights,
1998,Departures,Tonga,320,number,Number of flights,
1998,Departures,Taipei,358,number,Number of flights,
1998,Departures,Port Vila,104,number,Number of flights,
1998,Departures,Vancouver,196,number,Number of flights,
1998,Departures,Total all overseas ports,18132,number,Number of flights,
1998,Total,Adelaide,2,number,Number of flights,
1998,Total,Apia,907,number,Number of flights,
1998,Total,Beijing,0,number,Number of flights,
1998,Total,Bangkok,342,number,Number of flights,
1998,Total,Brisbane,5145,number,Number of flights,
1998,Total,Bandar Seri Begawan,0,number,Number of flights,
1998,Total,Guangzhou,0,number,Number of flights,
1998,Total,Cairns,377,number,Number of flights,
1998,Total,Denpasar,316,number,Number of flights,
1998,Total,Dubai,0,number,Number of flights,
1998,Total,Buenos Aires,276,number,Number of flights,
1998,Total,Hong Kong,1044,number,Number of flights,
1998,Total,Honolulu,972,number,Number of flights,
1998,Total,Osaka,728,number,Number of flights,
1998,Total,Kuala Lumpur,381,number,Number of flights,
1998,Total,Los Angeles,3419,number,Number of flights,
1998,Total,London,650,number,Number of flights,
1998,Total,Melbourne,4344,number,Number of flights,
1998,Total,Nadi,2260,number,Number of flights,
1998,Total,Nagoya,386,number,Number of flights,
1998,Total,Noumea,365,number,Number of flights,
1998,Total,Tokyo,660,number,Number of flights,
1998,Total,Coolangatta,161,number,Number of flights,
1998,Total,Perth,246,number,Number of flights,
1998,Total,Papeete,476,number,Number of flights,
1998,Total,Rarotonga,370,number,Number of flights,
1998,Total,Santiago,43,number,Number of flights,
1998,Total,Seoul,730,number,Number of flights,
1998,Total,San Francisco,199,number,Number of flights,
1998,Total,Shanghai,0,number,Number of flights,
1998,Total,Singapore,1653,number,Number of flights,
1998,Total,Sydney,10805,number,Number of flights,
1998,Total,Tonga,628,number,Number of flights,
1998,Total,Taipei,693,number,Number of flights,
1998,Total,Port Vila,197,number,Number of flights,
1998,Total,Vancouver,318,number,Number of flights,
1998,Total,Total all overseas ports,35804,number,Number of flights,
1999,Arrivals,Adelaide,19,number,Number of flights,
1999,Arrivals,Apia,442,number,Number of flights,
1999,Arrivals,Beijing,3,number,Number of flights,
1999,Arrivals,Bangkok,179,number,Number of flights,
1999,Arrivals,Brisbane,2560,number,Number of flights,
1999,Arrivals,Bandar Seri Begawan,0,number,Number of flights,
1999,Arrivals,Guangzhou,1,number,Number of flights,
1999,Arrivals,Cairns,112,number,Number of flights,
1999,Arrivals,Denpasar,157,number,Number of flights,
1999,Arrivals,Dubai,0,number,Number of flights,
1999,Arrivals,Buenos Aires,191,number,Number of flights,
1999,Arrivals,Hong Kong,517,number,Number of flights,
1999,Arrivals,Honolulu,371,number,Number of flights,
1999,Arrivals,Osaka,382,number,Number of flights,
1999,Arrivals,Kuala Lumpur,255,number,Number of flights,
1999,Arrivals,Los Angeles,1667,number,Number of flights,
1999,Arrivals,London,368,number,Number of flights,
1999,Arrivals,Melbourne,2727,number,Number of flights,
1999,Arrivals,Nadi,1282,number,Number of flights,
1999,Arrivals,Nagoya,213,number,Number of flights,
1999,Arrivals,Noumea,179,number,Number of flights,
1999,Arrivals,Tokyo,406,number,Number of flights,
1999,Arrivals,Coolangatta,78,number,Number of flights,
1999,Arrivals,Perth,124,number,Number of flights,
1999,Arrivals,Papeete,234,number,Number of flights,
1999,Arrivals,Rarotonga,245,number,Number of flights,
1999,Arrivals,Santiago,0,number,Number of flights,
1999,Arrivals,Seoul,256,number,Number of flights,
1999,Arrivals,San Francisco,1,number,Number of flights,
1999,Arrivals,Shanghai,4,number,Number of flights,
1999,Arrivals,Singapore,1022,number,Number of flights,
1999,Arrivals,Sydney,5912,number,Number of flights,
1999,Arrivals,Tonga,397,number,Number of flights,
1999,Arrivals,Taipei,212,number,Number of flights,
1999,Arrivals,Port Vila,98,number,Number of flights,
1999,Arrivals,Vancouver,56,number,Number of flights,
1999,Arrivals,Total all overseas ports,19329,number,Number of flights,
1999,Departures,Adelaide,2,number,Number of flights,
1999,Departures,Apia,435,number,Number of flights,
1999,Departures,Beijing,4,number,Number of flights,
1999,Departures,Bangkok,204,number,Number of flights,
1999,Departures,Brisbane,2575,number,Number of flights,
1999,Departures,Bandar Seri Begawan,0,number,Number of flights,
1999,Departures,Guangzhou,1,number,Number of flights,
1999,Departures,Cairns,168,number,Number of flights,
1999,Departures,Denpasar,160,number,Number of flights,
1999,Departures,Dubai,0,number,Number of flights,
1999,Departures,Buenos Aires,202,number,Number of flights,
1999,Departures,Hong Kong,540,number,Number of flights,
1999,Departures,Honolulu,404,number,Number of flights,
1999,Departures,Osaka,331,number,Number of flights,
1999,Departures,Kuala Lumpur,270,number,Number of flights,
1999,Departures,Los Angeles,1840,number,Number of flights,
1999,Departures,London,392,number,Number of flights,
1999,Departures,Melbourne,2644,number,Number of flights,
1999,Departures,Nadi,1268,number,Number of flights,
1999,Departures,Nagoya,199,number,Number of flights,
1999,Departures,Noumea,195,number,Number of flights,
1999,Departures,Tokyo,283,number,Number of flights,
1999,Departures,Coolangatta,78,number,Number of flights,
1999,Departures,Perth,162,number,Number of flights,
1999,Departures,Papeete,249,number,Number of flights,
1999,Departures,Rarotonga,271,number,Number of flights,
1999,Departures,Santiago,0,number,Number of flights,
1999,Departures,Seoul,253,number,Number of flights,
1999,Departures,San Francisco,4,number,Number of flights,
1999,Departures,Shanghai,2,number,Number of flights,
1999,Departures,Singapore,1069,number,Number of flights,
1999,Departures,Sydney,6067,number,Number of flights,
1999,Departures,Tonga,397,number,Number of flights,
1999,Departures,Taipei,222,number,Number of flights,
1999,Departures,Port Vila,109,number,Number of flights,
1999,Departures,Vancouver,61,number,Number of flights,
1999,Departures,Total all overseas ports,19633,number,Number of flights,
1999,Total,Adelaide,21,number,Number of flights,
1999,Total,Apia,877,number,Number of flights,
1999,Total,Beijing,7,number,Number of flights,
1999,Total,Bangkok,383,number,Number of flights,
1999,Total,Brisbane,5135,number,Number of flights,
1999,Total,Bandar Seri Begawan,0,number,Number of flights,
1999,Total,Guangzhou,2,number,Number of flights,
1999,Total,Cairns,280,number,Number of flights,
1999,Total,Denpasar,317,number,Number of flights,
1999,Total,Dubai,0,number,Number of flights,
1999,Total,Buenos Aires,393,number,Number of flights,
1999,Total,Hong Kong,1057,number,Number of flights,
1999,Total,Honolulu,775,number,Number of flights,
1999,Total,Osaka,713,number,Number of flights,
1999,Total,Kuala Lumpur,525,number,Number of flights,
1999,Total,Los Angeles,3507,number,Number of flights,
1999,Total,London,760,number,Number of flights,
1999,Total,Melbourne,5371,number,Number of flights,
1999,Total,Nadi,2550,number,Number of flights,
1999,Total,Nagoya,412,number,Number of flights,
1999,Total,Noumea,374,number,Number of flights,
1999,Total,Tokyo,689,number,Number of flights,
1999,Total,Coolangatta,156,number,Number of flights,
1999,Total,Perth,286,number,Number of flights,
1999,Total,Papeete,483,number,Number of flights,
1999,Total,Rarotonga,516,number,Number of flights,
1999,Total,Santiago,0,number,Number of flights,
1999,Total,Seoul,509,number,Number of flights,
1999,Total,San Francisco,5,number,Number of flights,
1999,Total,Shanghai,6,number,Number of flights,
1999,Total,Singapore,2091,number,Number of flights,
1999,Total,Sydney,11979,number,Number of flights,
1999,Total,Tonga,794,number,Number of flights,
1999,Total,Taipei,434,number,Number of flights,
1999,Total,Port Vila,207,number,Number of flights,
1999,Total,Vancouver,117,number,Number of flights,
1999,Total,Total all overseas ports,38962,number,Number of flights,
2000,Arrivals,Adelaide,0,number,Number of flights,
2000,Arrivals,Apia,519,number,Number of flights,
2000,Arrivals,Beijing,46,number,Number of flights,
2000,Arrivals,Bangkok,273,number,Number of flights,
2000,Arrivals,Brisbane,3076,number,Number of flights,
2000,Arrivals,Bandar Seri Begawan,0,number,Number of flights,
2000,Arrivals,Guangzhou,0,number,Number of flights,
2000,Arrivals,Cairns,54,number,Number of flights,
2000,Arrivals,Denpasar,155,number,Number of flights,
2000,Arrivals,Dubai,0,number,Number of flights,
2000,Arrivals,Buenos Aires,223,number,Number of flights,
2000,Arrivals,Hong Kong,566,number,Number of flights,
2000,Arrivals,Honolulu,401,number,Number of flights,
2000,Arrivals,Osaka,466,number,Number of flights,
2000,Arrivals,Kuala Lumpur,325,number,Number of flights,
2000,Arrivals,Los Angeles,1704,number,Number of flights,
2000,Arrivals,London,365,number,Number of flights,
2000,Arrivals,Melbourne,3269,number,Number of flights,
2000,Arrivals,Nadi,1144,number,Number of flights,
2000,Arrivals,Nagoya,157,number,Number of flights,
2000,Arrivals,Noumea,225,number,Number of flights,
2000,Arrivals,Tokyo,409,number,Number of flights,
2000,Arrivals,Coolangatta,147,number,Number of flights,
2000,Arrivals,Perth,160,number,Number of flights,
2000,Arrivals,Papeete,329,number,Number of flights,
2000,Arrivals,Rarotonga,364,number,Number of flights,
2000,Arrivals,Santiago,0,number,Number of flights,
2000,Arrivals,Seoul,288,number,Number of flights,
2000,Arrivals,San Francisco,0,number,Number of flights,
2000,Arrivals,Shanghai,46,number,Number of flights,
2000,Arrivals,Singapore,1044,number,Number of flights,
2000,Arrivals,Sydney,6577,number,Number of flights,
2000,Arrivals,Tonga,466,number,Number of flights,
2000,Arrivals,Taipei,304,number,Number of flights,
2000,Arrivals,Port Vila,108,number,Number of flights,
2000,Arrivals,Vancouver,25,number,Number of flights,
2000,Arrivals,Total all overseas ports,21417,number,Number of flights,
2000,Departures,Adelaide,0,number,Number of flights,
2000,Departures,Apia,516,number,Number of flights,
2000,Departures,Beijing,50,number,Number of flights,
2000,Departures,Bangkok,284,number,Number of flights,
2000,Departures,Brisbane,3161,number,Number of flights,
2000,Departures,Bandar Seri Begawan,0,number,Number of flights,
2000,Departures,Guangzhou,0,number,Number of flights,
2000,Departures,Cairns,70,number,Number of flights,
2000,Departures,Denpasar,157,number,Number of flights,
2000,Departures,Dubai,0,number,Number of flights,
2000,Departures,Buenos Aires,225,number,Number of flights,
2000,Departures,Hong Kong,585,number,Number of flights,
2000,Departures,Honolulu,453,number,Number of flights,
2000,Departures,Osaka,338,number,Number of flights,
2000,Departures,Kuala Lumpur,353,number,Number of flights,
2000,Departures,Los Angeles,1958,number,Number of flights,
2000,Departures,London,392,number,Number of flights,
2000,Departures,Melbourne,3253,number,Number of flights,
2000,Departures,Nadi,1184,number,Number of flights,
2000,Departures,Nagoya,165,number,Number of flights,
2000,Departures,Noumea,233,number,Number of flights,
2000,Departures,Tokyo,276,number,Number of flights,
2000,Departures,Coolangatta,145,number,Number of flights,
2000,Departures,Perth,193,number,Number of flights,
2000,Departures,Papeete,383,number,Number of flights,
2000,Departures,Rarotonga,467,number,Number of flights,
2000,Departures,Santiago,1,number,Number of flights,
2000,Departures,Seoul,270,number,Number of flights,
2000,Departures,San Francisco,1,number,Number of flights,
2000,Departures,Shanghai,50,number,Number of flights,
2000,Departures,Singapore,1094,number,Number of flights,
2000,Departures,Sydney,6615,number,Number of flights,
2000,Departures,Tonga,462,number,Number of flights,
2000,Departures,Taipei,387,number,Number of flights,
2000,Departures,Port Vila,103,number,Number of flights,
2000,Departures,Vancouver,27,number,Number of flights,
2000,Departures,Total all overseas ports,21765,number,Number of flights,
2000,Total,Adelaide,0,number,Number of flights,
2000,Total,Apia,1035,number,Number of flights,
2000,Total,Beijing,96,number,Number of flights,
2000,Total,Bangkok,557,number,Number of flights,
2000,Total,Brisbane,6237,number,Number of flights,
2000,Total,Bandar Seri Begawan,0,number,Number of flights,
2000,Total,Guangzhou,0,number,Number of flights,
2000,Total,Cairns,124,number,Number of flights,
2000,Total,Denpasar,312,number,Number of flights,
2000,Total,Dubai,0,number,Number of flights,
2000,Total,Buenos Aires,448,number,Number of flights,
2000,Total,Hong Kong,1151,number,Number of flights,
2000,Total,Honolulu,854,number,Number of flights,
2000,Total,Osaka,804,number,Number of flights,
2000,Total,Kuala Lumpur,678,number,Number of flights,
2000,Total,Los Angeles,3662,number,Number of flights,
2000,Total,London,757,number,Number of flights,
2000,Total,Melbourne,6522,number,Number of flights,
2000,Total,Nadi,2328,number,Number of flights,
2000,Total,Nagoya,322,number,Number of flights,
2000,Total,Noumea,458,number,Number of flights,
2000,Total,Tokyo,685,number,Number of flights,
2000,Total,Coolangatta,292,number,Number of flights,
2000,Total,Perth,353,number,Number of flights,
2000,Total,Papeete,712,number,Number of flights,
2000,Total,Rarotonga,831,number,Number of flights,
2000,Total,Santiago,1,number,Number of flights,
2000,Total,Seoul,558,number,Number of flights,
2000,Total,San Francisco,1,number,Number of flights,
2000,Total,Shanghai,96,number,Number of flights,
2000,Total,Singapore,2138,number,Number of flights,
2000,Total,Sydney,13192,number,Number of flights,
2000,Total,Tonga,928,number,Number of flights,
2000,Total,Taipei,691,number,Number of flights,
2000,Total,Port Vila,211,number,Number of flights,
2000,Total,Vancouver,52,number,Number of flights,
2000,Total,Total all overseas ports,43182,number,Number of flights,
2001,Arrivals,Adelaide,4,number,Number of flights,
2001,Arrivals,Apia,441,number,Number of flights,
2001,Arrivals,Beijing,17,number,Number of flights,
2001,Arrivals,Bangkok,366,number,Number of flights,
2001,Arrivals,Brisbane,3079,number,Number of flights,
2001,Arrivals,Bandar Seri Begawan,0,number,Number of flights,
2001,Arrivals,Guangzhou,0,number,Number of flights,
2001,Arrivals,Cairns,53,number,Number of flights,
2001,Arrivals,Denpasar,155,number,Number of flights,
2001,Arrivals,Dubai,0,number,Number of flights,
2001,Arrivals,Buenos Aires,168,number,Number of flights,
2001,Arrivals,Hong Kong,614,number,Number of flights,
2001,Arrivals,Honolulu,435,number,Number of flights,
2001,Arrivals,Osaka,472,number,Number of flights,
2001,Arrivals,Kuala Lumpur,291,number,Number of flights,
2001,Arrivals,Los Angeles,1736,number,Number of flights,
2001,Arrivals,London,364,number,Number of flights,
2001,Arrivals,Melbourne,3848,number,Number of flights,
2001,Arrivals,Nadi,1123,number,Number of flights,
2001,Arrivals,Nagoya,165,number,Number of flights,
2001,Arrivals,Noumea,218,number,Number of flights,
2001,Arrivals,Tokyo,399,number,Number of flights,
2001,Arrivals,Coolangatta,213,number,Number of flights,
2001,Arrivals,Perth,165,number,Number of flights,
2001,Arrivals,Papeete,439,number,Number of flights,
2001,Arrivals,Rarotonga,383,number,Number of flights,
2001,Arrivals,Santiago,0,number,Number of flights,
2001,Arrivals,Seoul,364,number,Number of flights,
2001,Arrivals,San Francisco,0,number,Number of flights,
2001,Arrivals,Shanghai,17,number,Number of flights,
2001,Arrivals,Singapore,942,number,Number of flights,
2001,Arrivals,Sydney,6638,number,Number of flights,
2001,Arrivals,Tonga,325,number,Number of flights,
2001,Arrivals,Taipei,353,number,Number of flights,
2001,Arrivals,Port Vila,110,number,Number of flights,
2001,Arrivals,Vancouver,18,number,Number of flights,
2001,Arrivals,Total all overseas ports,22180,number,Number of flights,
2001,Departures,Adelaide,5,number,Number of flights,
2001,Departures,Apia,444,number,Number of flights,
2001,Departures,Beijing,17,number,Number of flights,
2001,Departures,Bangkok,460,number,Number of flights,
2001,Departures,Brisbane,3244,number,Number of flights,
2001,Departures,Bandar Seri Begawan,0,number,Number of flights,
2001,Departures,Guangzhou,0,number,Number of flights,
2001,Departures,Cairns,52,number,Number of flights,
2001,Departures,Denpasar,162,number,Number of flights,
2001,Departures,Dubai,0,number,Number of flights,
2001,Departures,Buenos Aires,172,number,Number of flights,
2001,Departures,Hong Kong,710,number,Number of flights,
2001,Departures,Honolulu,422,number,Number of flights,
2001,Departures,Osaka,408,number,Number of flights,
2001,Departures,Kuala Lumpur,337,number,Number of flights,
2001,Departures,Los Angeles,1925,number,Number of flights,
2001,Departures,London,379,number,Number of flights,
2001,Departures,Melbourne,3978,number,Number of flights,
2001,Departures,Nadi,1195,number,Number of flights,
2001,Departures,Nagoya,206,number,Number of flights,
2001,Departures,Noumea,236,number,Number of flights,
2001,Departures,Tokyo,299,number,Number of flights,
2001,Departures,Coolangatta,213,number,Number of flights,
2001,Departures,Perth,232,number,Number of flights,
2001,Departures,Papeete,455,number,Number of flights,
2001,Departures,Rarotonga,428,number,Number of flights,
2001,Departures,Santiago,0,number,Number of flights,
2001,Departures,Seoul,372,number,Number of flights,
2001,Departures,San Francisco,1,number,Number of flights,
2001,Departures,Shanghai,17,number,Number of flights,
2001,Departures,Singapore,1015,number,Number of flights,
2001,Departures,Sydney,6776,number,Number of flights,
2001,Departures,Tonga,312,number,Number of flights,
2001,Departures,Taipei,394,number,Number of flights,
