YearMonth,Year,Month,Flights
09-1997,1997,9,2639
10-1997,1997,10,2771
11-1997,1997,11,2799
12-1997,1997,12,3074
01-1998,1998,1,3085
02-1998,1998,2,2657
03-1998,1998,3,2907
04-1998,1998,4,2815
05-1998,1998,5,2864
06-1998,1998,6,2770
07-1998,1998,7,3117
08-1998,1998,8,3105
09-1998,1998,9,2977
10-1998,1998,10,3150
11-1998,1998,11,3061
12-1998,1998,12,3296
01-1999,1999,1,3388
02-1999,1999,2,3026
03-1999,1999,3,3274
04-1999,1999,4,3151
05-1999,1999,5,3075
06-1999,1999,6,2955
07-1999,1999,7,3247
08-1999,1999,8,3297
09-1999,1999,9,3258
10-1999,1999,10,3300
11-1999,1999,11,3302
12-1999,1999,12,3689
01-2000,2000,1,3763
02-2000,2000,2,3453
03-2000,2000,3,3581
04-2000,2000,4,3501
05-2000,2000,5,3450
06-2000,2000,6,3364
07-2000,2000,7,3612
08-2000,2000,8,3553
09-2000,2000,9,3477
10-2000,2000,10,3624
11-2000,2000,11,3787
12-2000,2000,12,4017
01-2001,2001,1,4053
02-2001,2001,2,3635
03-2001,2001,3,3930
04-2001,2001,4,3809
05-2001,2001,5,3749
06-2001,2001,6,3593
07-2001,2001,7,3843
08-2001,2001,8,3786
09-2001,2001,9,3650
10-2001,2001,10,3763
11-2001,2001,11,3510
12-2001,2001,12,3840
01-2002,2002,1,3834
02-2002,2002,2,3417
03-2002,2002,3,3675
04-2002,2002,4,3506
05-2002,2002,5,3533
06-2002,2002,6,3450
07-2002,2002,7,3784
08-2002,2002,8,3852
09-2002,2002,9,3684
10-2002,2002,10,3787
11-2002,2002,11,4013
12-2002,2002,12,4338
01-2003,2003,1,4407
02-2003,2003,2,3948
03-2003,2003,3,4144
04-2003,2003,4,3939
05-2003,2003,5,3842
06-2003,2003,6,3699
07-2003,2003,7,4116
08-2003,2003,8,4243
09-2003,2003,9,4143
10-2003,2003,10,4303
11-2003,2003,11,4482
12-2003,2003,12,4755
01-2004,2004,1,4898
02-2004,2004,2,4541
03-2004,2004,3,4886
04-2004,2004,4,4699
05-2004,2004,5,4775
06-2004,2004,6,4517
07-2004,2004,7,4874
08-2004,2004,8,4907
09-2004,2004,9,4744
10-2004,2004,10,4865
11-2004,2004,11,4899
12-2004,2004,12,5167
01-2005,2005,1,5279
02-2005,2005,2,4718
03-2005,2005,3,5105
04-2005,2005,4,4926
05-2005,2005,5,5016
06-2005,2005,6,4853
07-2005,2005,7,5088
08-2005,2005,8,5004
09-2005,2005,9,4853
10-2005,2005,10,4982
11-2005,2005,11,4800
12-2005,2005,12,5211
01-2006,2006,1,5255
02-2006,2006,2,4688
03-2006,2006,3,5024
04-2006,2006,4,4801
05-2006,2006,5,4673
06-2006,2006,6,4576
07-2006,2006,7,5155
08-2006,2006,8,5067
09-2006,2006,9,4955
10-2006,2006,10,4794
11-2006,2006,11,4678
12-2006,2006,12,5053
01-2007,2007,1,5008
02-2007,2007,2,4405
03-2007,2007,3,4799
04-2007,2007,4,4557
05-2007,2007,5,4593
06-2007,2007,6,4443
07-2007,2007,7,4854
08-2007,2007,8,4723
09-2007,2007,9,4632
10-2007,2007,10,4586
11-2007,2007,11,4568
12-2007,2007,12,5004
01-2008,2008,1,5032
02-2008,2008,2,4621
03-2008,2008,3,4878
04-2008,2008,4,4602
05-2008,2008,5,4652
06-2008,2008,6,4549
07-2008,2008,7,5051
08-2008,2008,8,4973
09-2008,2008,9,4745
10-2008,2008,10,4941
11-2008,2008,11,4879
12-2008,2008,12,5213
01-2009,2009,1,5266
02-2009,2009,2,4533
03-2009,2009,3,4966
04-2009,2009,4,4584
05-2009,2009,5,4632
06-2009,2009,6,4511
07-2009,2009,7,5112
08-2009,2009,8,5083
09-2009,2009,9,4843
10-2009,2009,10,5047
11-2009,2009,11,4887
12-2009,2009,12,5256
01-2010,2010,1,5422
02-2010,2010,2,4664
03-2010,2010,3,5070
04-2010,2010,4,4866
05-2010,2010,5,4758
06-2010,2010,6,4637
07-2010,2010,7,5244
08-2010,2010,8,5214
09-2010,2010,9,4866
10-2010,2010,10,5010
11-2010,2010,11,4880
12-2010,2010,12,5392
01-2011,2011,1,5525
02-2011,2011,2,4897
03-2011,2011,3,5248
04-2011,2011,4,5078
05-2011,2011,5,4940
06-2011,2011,6,4107
07-2011,2011,7,5412
08-2011,2011,8,5309
09-2011,2011,9,5151
10-2011,2011,10,5383
11-2011,2011,11,4888
12-2011,2011,12,5409
01-2012,2012,1,5581
02-2012,2012,2,4857
03-2012,2012,3,5167
04-2012,2012,4,4984
05-2012,2012,5,4564
06-2012,2012,6,4639
07-2012,2012,7,5417
08-2012,2012,8,5170
09-2012,2012,9,4970
10-2012,2012,10,5094
11-2012,2012,11,4759
12-2012,2012,12,5434
01-2013,2013,1,5429
02-2013,2013,2,4581
03-2013,2013,3,5051
04-2013,2013,4,5032
05-2013,2013,5,4629
06-2013,2013,6,4670
07-2013,2013,7,5503
08-2013,2013,8,5254
09-2013,2013,9,5077
10-2013,2013,10,5200
11-2013,2013,11,4862
12-2013,2013,12,5705
01-2014,2014,1,5746
02-2014,2014,2,4785
03-2014,2014,3,5158
04-2014,2014,4,5088
05-2014,2014,5,4805
06-2014,2014,6,4841
07-2014,2014,7,5656
08-2014,2014,8,5397
09-2014,2014,9,5126
10-2014,2014,10,5239
11-2014,2014,11,4904
12-2014,2014,12,5852
01-2015,2015,1,5984
02-2015,2015,2,4963
03-2015,2015,3,5337
04-2015,2015,4,5169
05-2015,2015,5,4850
06-2015,2015,6,4870
07-2015,2015,7,5861
08-2015,2015,8,5532
09-2015,2015,9,5226
10-2015,2015,10,5498
11-2015,2015,11,5282
12-2015,2015,12,6392
01-2016,2016,1,6579
02-2016,2016,2,5600
03-2016,2016,3,5848
04-2016,2016,4,5766
05-2016,2016,5,5354
06-2016,2016,6,5436
07-2016,2016,7,6567
08-2016,2016,8,6125
09-2016,2016,9,6003
10-2016,2016,10,6243
11-2016,2016,11,5930
12-2016,2016,12,7056
01-2017,2017,1,7273
02-2017,2017,2,5997
03-2017,2017,3,6337
04-2017,2017,4,6257
05-2017,2017,5,5648
06-2017,2017,6,5731
07-2017,2017,7,6730
08-2017,2017,8,6274
09-2017,2017,9,6016
10-2017,2017,10,6363
11-2017,2017,11,6117
12-2017,2017,12,7226
01-2018,2018,1,7376
02-2018,2018,2,6089
03-2018,2018,3,6425
04-2018,2018,4,6198
05-2018,2018,5,5757
06-2018,2018,6,5853
07-2018,2018,7,6907
08-2018,2018,8,6401
09-2018,2018,9,6181
10-2018,2018,10,6543
11-2018,2018,11,6522
12-2018,2018,12,7485
01-2019,2019,1,7649
02-2019,2019,2,6251
03-2019,2019,3,6689
04-2019,2019,4,6357
05-2019,2019,5,5809
06-2019,2019,6,5885
07-2019,2019,7,6949
08-2019,2019,8,6477
09-2019,2019,9,6267
10-2019,2019,10,6510
11-2019,2019,11,6340
12-2019,2019,12,7452
01-2020,2020,1,7625
02-2020,2020,2,6205
03-2020,2020,3,4618
04-2020,2020,4,342
05-2020,2020,5,207
06-2020,2020,6,263
07-2020,2020,7,380
08-2020,2020,8,451
09-2020,2020,9,457
10-2020,2020,10,461
11-2020,2020,11,488
12-2020,2020,12,546
01-2021,2021,1,464
02-2021,2021,2,413
03-2021,2021,3,456
04-2021,2021,4,1068
05-2021,2021,5,1944
06-2021,2021,6,1533
07-2021,2021,7,1384
08-2021,2021,8,501
09-2021,2021,9,394
10-2021,2021,10,458
11-2021,2021,11,491
12-2021,2021,12,554
01-2022,2022,1,547
02-2022,2022,2,604
03-2022,2022,3,863
04-2022,2022,4,1463
05-2022,2022,5,1841
06-2022,2022,6,2293
07-2022,2022,7,3689
08-2022,2022,8,3710
09-2022,2022,9,3693
10-2022,2022,10,3929
11-2022,2022,11,4593
12-2022,2022,12,5371
01-2023,2023,1,5384
02-2023,2023,2,4460
03-2023,2023,3,5083
04-2023,2023,4,5337
05-2023,2023,5,5161
06-2023,2023,6,5274
07-2023,2023,7,5875
08-2023,2023,8,5636
09-2023,2023,9,5532
10-2023,2023,10,5591
11-2023,2023,11,5806
12-2023,2023,12,6697
01-2024,2024,1,6818
02-2024,2024,2,5910
03-2024,2024,3,6016
04-2024,2024,4,5694
05-2024,2024,5,5253
06-2024,2024,6,5216
